"CDR017-DIL"	"CDR025"	"CDR021"	"CDR029-DIL"	"CDR022"	"CDR018"	"CDR026-DIL"	"CDR030-DIL"	"CDR031-DIL"	"CDR023"	"CDR027-DIL"	"CDR019"	"CDR020"	"CDR028-DIL"	"CDR032-DIL"	"CDR024"
"ILMN_2621472"	2601.092	2517.37275	2506.3018125	2277.43625	3388.5791875	2625.8334375	2556.7989375	2310.01975	2593.8493125	2746.322625	2633.7453125	2952.272375	3097.4584375	2581.1375	2526.8005	2665.720625
"ILMN_2621471"	1191.13270625	1258.5084875	1122.60583125	1071.373796875	1475.72125	1294.01460625	1265.327025	1219.9291875	1219.9291875	1405.81893125	1237.6670125	1283.01740625	1348.9208375	1348.9208375	1303.7116	1291.7907625
"ILMN_2622829"	1627.8435625	1632.5483125	1662.9405	1743.4195	1646.2829375	1656.9044375	1759.0605	1415.3043625	1449.6651875	1652.57875	1470.4425625	1670.214625	1531.424875	1485.7453125	1505.664625	1579.5619375
"ILMN_2745954"	1226.22256875	1147.48524375	1014.6866125	1136.6648125	1241.1790375	1151.0470375	1110.04635625	1050.24421875	1089.68374375	1122.60583125	1222.9821	1032.07013125	1204.60871875	1199.44966875	1265.327025	962.397525
"ILMN_2734060"	6001.081	5690.447375	5909.277875	5467.5040625	4305.6294375	5349.3264375	6248.408625	4708.9626875	5232.6154375	5033.8555	6290.24225	6248.408625	6001.081	5909.277875	4926.7780625	4553.349
"ILMN_2919489"	1297.6508375	1405.81893125	1172.46564375	1202.76246875	1357.10996875	1382.702325	1385.86663125	1278.73228125	1435.8101875	1367.22803125	1408.44643125	1405.81893125	1403.350275	1440.297625	1360.29693125	1321.35028125
"ILMN_2646001"	245.44033125	286.827325	235.4533375	250.96471875	291.433125	275.6885125	275.6885125	221.4735125	272.1875125	246.3669	248.77758125	251.70985625	253.82809375	251.28089375	251.70985625	233.07575625
"ILMN_2642876"	195.197125	196.21144375	177.3205375	181.2290125	204.2428625	175.18576875	198.77406875	158.796875	213.37485	195.7639125	211.32431875	217.17126875	177.3205375	178.7428125	188.136525	164.9723375
"ILMN_1225594"	1463.571375	1579.5619375	1360.29693125	1371.79743125	1485.7453125	1764.57425	1590.64425	1411.4146	1606.1010625	1423.8325	1775.1008125	1799.6424375	1739.1569375	1834.548	1567.026875	1426.4050625
"ILMN_2707207"	3368.0494375	4009.490375	3852.391	4068.588375	4321.2529375	3457.957875	4379.1074375	4472.218125	4107.2114375	3543.0768125	4218.05075	3375.6960625	3612.062	4708.9626875	4379.1074375	3575.4696875
"ILMN_1231371"	766.45550625	781.69595	733.2854375	793.70504375	817.69208125	744.6064125	854.99735625	772.2590125	758.9241125	835.47774375	852.04090625	752.51255625	848.62478125	899.8158	829.13074375	832.51063125
"ILMN_1221251"	283.2316625	262.349275	284.8685125	290.51439375	266.81874375	307.39310625	264.48115	292.0677	297.00449375	324.21904375	292.523625	299.66855	303.06303125	317.90885625	281.61061875	298.4882625
"ILMN_1254562"	240.01421875	238.193125	187.99031875	204.60563125	203.35528125	208.0264875	214.87058125	209.5458	188.54851875	209.34676875	220.7673	216.8480125	218.28855	175.81434375	206.3916875	214.2343125
"ILMN_1257630"	185.1210875	171.1804625	185.65298125	171.546275	184.41938125	188.136525	176.03235625	146.66913125	156.6076	192.0934625	202.7597125	174.6232625	177.67216875	183.97743125	187.50133125	151.6387125
"ILMN_3144761"	302.349125	284.130375	297.632825	335.20279375	370.0059125	284.130375	300.04139375	323.7177875	343.43558125	328.66174375	330.808375	275.1821875	284.51064375	306.98319375	316.24873125	324.21904375
"ILMN_2604806"	399.9620875	412.90525625	421.2821375	454.8536125	527.97433125	384.07974375	395.40934375	440.4799375	414.57105	478.57549375	449.20795	381.57836875	340.2664125	409.58745625	464.7328625	404.8501
"ILMN_2753109"	1749.6379375	1891.157125	1949.178875	1764.57425	2573.4615625	1794.4246875	1834.548	1855.76675	1915.526625	1907.0588125	2133.6043125	2099.771	1924.92825	1895.6924375	1915.526625	2133.6043125
"ILMN_2807474"	1401.06855	1180.604725	1511.49525	1455.159625	1660.214375	1327.62036875	1255.65941875	1579.5619375	1408.44643125	1577.6735	1338.7863	1330.8783	1300.52404375	1271.32739375	1622.054	1318.56764375
"ILMN_2752497"	259.712775	259.42550625	247.89775	214.4501625	285.92029375	256.12818125	235.4533375	284.51064375	264.726425	273.00749375	211.59015625	241.45310625	203.7036375	221.0247	214.70516875	226.8536625
"ILMN_1255898"	498.9142875	431.14796875	451.2888375	397.3154375	538.19415625	413.8246875	453.2523375	402.19800625	338.59659375	523.3652125	359.42853125	337.05235	408.38614375	449.74499375	487.7655125	454.8536125
